Complete Game Pass Master List by u/ABattleVet,531,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Eiyuden Chronicle: Hundred Heroes,Xbox / PC,Yes,Coming Soon,Apr 2024,,-1.71,Apr 2024,0.00,,,Role-Playing,,,RP,,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox / PC,Yes,Coming Soon,Mar 2024,,-0.95,Mar 2024,0.00,,,First-Person Shooter / Action-Adventure,,,RP,,
Diablo IV,Xbox / PC,Yes,Coming Soon,Mar 2024,,-0.85,Jun 2023,0.82,86,27,Role-Playing,,,,,
Lightyear Frontier,Xbox / PC,Yes,Coming Soon,Mar 2024,,-0.56,Mar 2024,0.00,,,Sandbox,,,,,
MLB The Show 24,Xbox,Yes,Coming Soon,Mar 2024,,-0.56,Mar 2024,0.00,,,Sports/Baseball,,Joined cloud 2/27/24,,,
"Warhammer 40,000: Boltgun",Xbox / PC,Yes,Coming Soon,Mar 2024,,-0.10,May 2023,0.79,75,10,Shooter,,,,,
Space Engineers,Xbox / PC,Yes,Active,Feb 2024,,0.07,Apr 2020,3.88,68,20,Sandbox,,,,,
Indivisible,Xbox / PC,Yes,Active,Feb 2024,,0.10,Oct 2019,4.39,82,19,Action / Role-Playing,,"Returning title: Added 1/23/20, left 1/29/21",,,
Maneater,Xbox / PC,Yes,Active,Feb 2024,,0.13,May 2020,3.77,71,8,Action / Role-Playing,Optimized,"Returning title: Added 5/25/21, left 6/15/23",M,"Blood and Gore, Mild Language, Drug Reference, Intense Violence, Mature Humor",
Bluey: The Videogame,Xbox / PC,Yes,Active,Feb 2024,,0.30,Nov 2023,0.27,56,1,Adventure,,,,,
Dead Island 2,Xbox,Yes,Active,Feb 2024,,0.36,Apr 2023,0.84,73,16,Shooter,,"Epic exclusive until April, hence no PC version yet",,,
Return to Grace,Xbox / PC,Yes,Active,Feb 2024,,0.36,May 2023,0.73,79,3,Adventure,,,,,
Tales of Arise,Xbox / PC,Yes,Active,Feb 2024,,0.36,Sep 2021,2.45,87,41,Role-Playing,,,,,
PlateUp!,Xbox / PC,Yes,Active,Feb 2024,,0.53,Aug 2022,1.53,73,19,Strategy,,,,,
A Little to the Left,Xbox / PC,Yes,Active,Feb 2024,,0.56,Nov 2022,1.27,75,4,Puzzle,,,,,
Bloodstained: Ritual of the Night,Xbox / PC,Yes,Active,Feb 2024,,0.56,Jun 2019,4.66,84,14,Role-Playing / Platformer / Action-Adventure,,"Returning title: Added 9/19/19, left 3/15/21",,,
Resident Evil 3,Xbox / PC,Yes,Active,Feb 2024,,0.59,Apr 2020,3.87,79,6,Shooter / Action-Adventure,,,,,
Madden NFL 24,Xbox / PC,Yes,Active,Feb 2024,,0.76,Aug 2023,0.48,65,14,Sports / Football,,,,,
Train Sim World 4,Xbox / PC,Yes,Active,Feb 2024,,0.79,Sep 2023,0.37,80,,Simulation,,,,,
Anuchard,Xbox / PC,Yes,Active,Feb 2024,,0.82,Apr 2022,1.80,70,9,Role-Playing,,,,,
Persona 3: Reload,Xbox / PC,Yes,Active,Feb 2024,,0.95,Feb 2024,0.00,,49,Role-Playing,,,,,
Brotato,Xbox / PC,Yes,Active,Jan 2024,,1.05,Feb 2022,1.92,76,5,Action,,,,,
Go Mecha Ball,Xbox / PC,Yes,Active,Jan 2024,,1.22,Jan 2024,0.00,68,3,Action,,,,,
Palworld (Game Preview),Xbox / PC,Yes,Active,Jan 2024,,1.41,Jan 2024,0.00,,31,Action,,,,,
Turnip Boy Robs a Bank,Xbox / PC,Yes,Active,Jan 2024,,1.45,Jan 2024,0.00,82,4,Action-Adventure,,,,,
F1 23,Xbox / PC,Yes,Active,Jan 2024,,1.45,Jun 2023,0.59,82,8,Driving/Racing,,,,,
Resident Evil 2 (2019),Xbox / PC,Yes,Active,Jan 2024,,1.51,Jan 2019,5.01,91,9,Shooter / Action-Adventure,,,,,
Those Who Remain,Xbox / PC,Yes,Active,Jan 2024,,1.51,May 2020,3.64,49,6,Adventure,,,,,
Super Mega Baseball 4,Xbox / PC,Yes,Active,Jan 2024,,1.68,Jun 2023,0.61,79,,Sports/Baseball,,,,,
We Happy Few,Xbox / PC,Yes,Active,Jan 2024,,1.68,Aug 2018,5.42,64,21,Adventure / First-Person Shooter,Optimized,"Returning title: Added 1/17/19, left 1/15/23",M,"Use Of Drugs And Alcohol, Blood, Suggestive Themes, Strong Language, Violence",
Assassin's Creed Valhalla,Xbox / PC,Yes,Active,Jan 2024,,1.74,Nov 2020,3.16,80,61,Role-Playing / Action-Adventure,,Ubisoft Connect launcher,,,
Figment,Xbox / PC,Yes,Active,Jan 2024,,1.74,Sep 2017,6.30,75,5,Puzzle / Action-Adventure,,,,,
